domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
brabilligmat.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
connectskane.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
damm.nu,nu,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
formelrenault.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
itsecurity.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
madsengarden.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
summeradde.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
sundbyvikgolf.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
takespace.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
tradgardsriket.se,se,2026-07-17,True,True,500,wayback,2026-07-16T08:37:15.204261+00:00
mats-solskydd.se,se,2026-07-17,True,True,472,wayback,2026-07-16T08:37:15.204261+00:00
ankies.se,se,2026-07-17,True,True,429,wayback,2026-07-16T08:37:15.204261+00:00
dos.se,se,2026-07-17,True,True,393,wayback,2026-07-16T08:37:15.204261+00:00
dialine.se,se,2026-07-17,True,True,379,wayback,2026-07-16T08:37:15.204261+00:00
agnetabrundin.se,se,2026-07-17,True,True,343,wayback,2026-07-16T08:37:15.204261+00:00
vagestorpskennel.se,se,2026-07-17,True,True,333,wayback,2026-07-16T08:37:15.204261+00:00
comfyslippers.se,se,2026-07-17,True,True,315,wayback,2026-07-16T08:37:15.204261+00:00
btn.nu,nu,2026-07-17,True,True,310,wayback,2026-07-16T08:37:15.204261+00:00
semesterhuset.se,se,2026-07-17,True,True,279,wayback,2026-07-16T08:37:15.204261+00:00
abracadabra.se,se,2026-07-17,True,True,260,wayback,2026-07-16T08:37:15.204261+00:00
modicken.se,se,2026-07-17,True,True,260,wayback,2026-07-16T08:37:15.204261+00:00
fiadvastgoed.nu,nu,2026-07-17,True,True,259,wayback,2026-07-16T08:37:15.204261+00:00
skinfashionclinic.se,se,2026-07-17,True,True,252,wayback,2026-07-16T08:37:15.204261+00:00
vinterflod.se,se,2026-07-17,True,True,193,wayback,2026-07-16T08:37:15.204261+00:00
circify.se,se,2026-07-17,True,True,156,wayback,2026-07-16T08:37:15.204261+00:00
sartorius.se,se,2026-07-17,True,True,151,wayback,2026-07-16T08:37:15.204261+00:00
bildelslagret-returen.se,se,2026-07-17,True,True,128,wayback,2026-07-16T08:37:15.204261+00:00
xn--hstsport-0za.se,se,2026-07-17,True,True,124,wayback,2026-07-16T08:37:15.204261+00:00
nwe.se,se,2026-07-17,True,True,121,wayback,2026-07-16T08:37:15.204261+00:00
databehandling.se,se,2026-07-17,True,True,119,wayback,2026-07-16T08:37:15.204261+00:00
