domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
agit.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
allakakor.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
americandreams.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
carinasphotolifestyle.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
fistorstockholm.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
frontbage.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
jagarsidan.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
segelfartyget-ariel.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
teemji.se,se,2026-06-24,True,True,500,wayback,2026-06-23T11:08:29.174877+00:00
casinowizard.se,se,2026-06-24,True,True,414,wayback,2026-06-23T11:08:29.174877+00:00
xn--fretagareutangrnser-uwb77a.se,se,2026-06-24,True,True,393,wayback,2026-06-23T11:08:29.174877+00:00
svampinfektion.se,se,2026-06-24,True,True,341,wayback,2026-06-23T11:08:29.174877+00:00
semmelwrap.se,se,2026-06-24,True,True,338,wayback,2026-06-23T11:08:29.174877+00:00
nutrinora.se,se,2026-06-24,True,True,271,wayback,2026-06-23T11:08:29.174877+00:00
formsystem.se,se,2026-06-24,True,True,254,wayback,2026-06-23T11:08:29.174877+00:00
mariapaviljongen.se,se,2026-06-24,True,True,246,wayback,2026-06-23T11:08:29.174877+00:00
amotforsbatklubb.se,se,2026-06-24,True,True,212,wayback,2026-06-23T11:08:29.174877+00:00
fortevalente.se,se,2026-06-24,True,True,212,wayback,2026-06-23T11:08:29.174877+00:00
voidreality.se,se,2026-06-24,True,True,162,wayback,2026-06-23T11:08:29.174877+00:00
24rent.se,se,2026-06-24,True,True,150,wayback,2026-06-23T11:08:29.174877+00:00
schaktformedlingen.se,se,2026-06-24,True,True,148,wayback,2026-06-23T11:08:29.174877+00:00
8bits.se,se,2026-06-24,True,True,146,wayback,2026-06-23T11:08:29.174877+00:00
fredriksnellman.se,se,2026-06-24,True,True,146,wayback,2026-06-23T11:08:29.174877+00:00
rodex.nu,nu,2026-06-24,True,True,136,wayback,2026-06-23T11:08:29.174877+00:00
fluffen.se,se,2026-06-24,True,True,132,wayback,2026-06-23T11:08:29.174877+00:00
cryokliniken.se,se,2026-06-24,True,True,127,wayback,2026-06-23T11:08:29.174877+00:00
savvyagency.se,se,2026-06-24,True,True,125,wayback,2026-06-23T11:08:29.174877+00:00
cirqle.se,se,2026-06-24,True,True,107,wayback,2026-06-23T11:08:29.174877+00:00
insanity.se,se,2026-06-24,True,True,106,wayback,2026-06-23T11:08:29.174877+00:00
s-e-o.se,se,2026-06-24,True,True,91,wayback,2026-06-23T11:08:29.174877+00:00
markisexperten.se,se,2026-06-24,True,True,78,wayback,2026-06-23T11:08:29.174877+00:00
svbiodlare.se,se,2026-06-24,True,True,77,wayback,2026-06-23T11:08:29.174877+00:00
internetimprovements.se,se,2026-06-24,True,True,76,wayback,2026-06-23T11:08:29.174877+00:00
luftpack.se,se,2026-06-24,True,True,62,wayback,2026-06-23T11:08:29.174877+00:00
molok.nu,nu,2026-06-24,True,True,62,wayback,2026-06-23T11:08:29.174877+00:00
shbeauty.se,se,2026-06-24,True,True,62,wayback,2026-06-23T11:08:29.174877+00:00
annasstadservice.se,se,2026-06-24,True,True,58,wayback,2026-06-23T11:08:29.174877+00:00
crcliniq.se,se,2026-06-24,True,True,56,wayback,2026-06-23T11:08:29.174877+00:00
pahaad.se,se,2026-06-24,True,True,56,wayback,2026-06-23T11:08:29.174877+00:00
ahareklam.se,se,2026-06-24,True,True,54,wayback,2026-06-23T11:08:29.174877+00:00
ikwileenasbestattest.nu,nu,2026-06-24,True,True,53,wayback,2026-06-23T11:08:29.174877+00:00
krinolinen.nu,nu,2026-06-24,True,True,52,wayback,2026-06-23T11:08:29.174877+00:00
puck.nu,nu,2026-06-24,True,True,49,wayback,2026-06-23T11:08:29.174877+00:00
rosenboms.se,se,2026-06-24,True,True,46,wayback,2026-06-23T11:08:29.174877+00:00
tapiokas.se,se,2026-06-24,True,True,39,wayback,2026-06-23T11:08:29.174877+00:00
xdesign.se,se,2026-06-24,True,True,37,wayback,2026-06-23T11:08:29.174877+00:00
gasten.se,se,2026-06-24,True,True,35,wayback,2026-06-23T11:08:29.174877+00:00
fonsteruppsala.se,se,2026-06-24,True,True,32,wayback,2026-06-23T11:08:29.174877+00:00
fondbyte.se,se,2026-06-24,True,True,29,wayback,2026-06-23T11:08:29.174877+00:00
saraerasmus2025.se,se,2026-06-24,True,True,28,wayback,2026-06-23T11:08:29.174877+00:00
telegrafi.se,se,2026-06-24,True,True,24,wayback,2026-06-23T11:08:29.174877+00:00
janliu.se,se,2026-06-24,True,True,23,wayback,2026-06-23T11:08:29.174877+00:00
thomit.se,se,2026-06-24,True,True,20,wayback,2026-06-23T11:08:29.174877+00:00
hustittarna.se,se,2026-06-24,True,True,15,wayback,2026-06-23T11:08:29.174877+00:00
ihelpu.se,se,2026-06-24,True,True,15,wayback,2026-06-23T11:08:29.174877+00:00
teranga.se,se,2026-06-24,True,True,15,wayback,2026-06-23T11:08:29.174877+00:00
wretmanpsykologi.se,se,2026-06-24,True,True,13,wayback,2026-06-23T11:08:29.174877+00:00
former.se,se,2026-06-24,True,True,12,wayback,2026-06-23T11:08:29.174877+00:00
fraktaexpress.se,se,2026-06-24,True,True,11,wayback,2026-06-23T11:08:29.174877+00:00
orrkupp.se,se,2026-06-24,True,True,9,wayback,2026-06-23T11:08:29.174877+00:00
xn--fnsterskellefte-vlb8y.se,se,2026-06-24,True,True,9,wayback,2026-06-23T11:08:29.174877+00:00
synklinik.se,se,2026-06-24,True,True,7,wayback,2026-06-23T11:08:29.174877+00:00
