domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
cykelcentrum.nu,nu,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
dalgas.nu,nu,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
equality.se,se,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
handheld.se,se,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
hek.nu,nu,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
ljusharmoni.se,se,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
matochnjutning.se,se,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
svensk-seo.se,se,2026-08-01,True,True,500,wayback,2026-07-31T09:22:22.837380+00:00
carby.se,se,2026-08-01,True,True,498,wayback,2026-07-31T09:22:22.837380+00:00
hbird.se,se,2026-08-01,True,True,489,wayback,2026-07-31T09:22:22.837380+00:00
pco-pcos.se,se,2026-08-01,True,True,424,wayback,2026-07-31T09:22:22.837380+00:00
salat.nu,nu,2026-08-01,True,True,372,wayback,2026-07-31T09:22:22.837380+00:00
sushi036.se,se,2026-08-01,True,True,271,wayback,2026-07-31T09:22:22.837380+00:00
cityhamn.se,se,2026-08-01,True,True,235,wayback,2026-07-31T09:22:22.837380+00:00
stinasmat.se,se,2026-08-01,True,True,217,wayback,2026-07-31T09:22:22.837380+00:00
expresstryck.nu,nu,2026-08-01,True,True,209,wayback,2026-07-31T09:22:22.837380+00:00
hemresan.se,se,2026-08-01,True,True,172,wayback,2026-07-31T09:22:22.837380+00:00
sunsethyddan.se,se,2026-08-01,True,True,167,wayback,2026-07-31T09:22:22.837380+00:00
grandimage.se,se,2026-08-01,True,True,163,wayback,2026-07-31T09:22:22.837380+00:00
nossansgrontochgott.se,se,2026-08-01,True,True,144,wayback,2026-07-31T09:22:22.837380+00:00
arosfinans.se,se,2026-08-01,True,True,136,wayback,2026-07-31T09:22:22.837380+00:00
absolutmixt.se,se,2026-08-01,True,True,110,wayback,2026-07-31T09:22:22.837380+00:00
kemtvattoskradderi.se,se,2026-08-01,True,True,97,wayback,2026-07-31T09:22:22.837380+00:00
neroshyrverk.se,se,2026-08-01,True,True,95,wayback,2026-07-31T09:22:22.837380+00:00
hillersdalsbygg.se,se,2026-08-01,True,True,94,wayback,2026-07-31T09:22:22.837380+00:00
nerjapacoromo6.se,se,2026-08-01,True,True,90,wayback,2026-07-31T09:22:22.837380+00:00
stelladogs.se,se,2026-08-01,True,True,83,wayback,2026-07-31T09:22:22.837380+00:00
eliasspinnars.se,se,2026-08-01,True,True,81,wayback,2026-07-31T09:22:22.837380+00:00
underline.se,se,2026-08-01,True,True,75,wayback,2026-07-31T09:22:22.837380+00:00
pacego.se,se,2026-08-01,True,True,70,wayback,2026-07-31T09:22:22.837380+00:00
tilltugg.nu,nu,2026-08-01,True,True,70,wayback,2026-07-31T09:22:22.837380+00:00
gotlandsdronartjanst.se,se,2026-08-01,True,True,66,wayback,2026-07-31T09:22:22.837380+00:00
notes-online.se,se,2026-08-01,True,True,65,wayback,2026-07-31T09:22:22.837380+00:00
arjeplogs-begravningsbyra.se,se,2026-08-01,True,True,62,wayback,2026-07-31T09:22:22.837380+00:00
nattglim.se,se,2026-08-01,True,True,61,wayback,2026-07-31T09:22:22.837380+00:00
helphumus.nu,nu,2026-08-01,True,True,58,wayback,2026-07-31T09:22:22.837380+00:00
grafigo.se,se,2026-08-01,True,True,56,wayback,2026-07-31T09:22:22.837380+00:00
sundsfast.se,se,2026-08-01,True,True,51,wayback,2026-07-31T09:22:22.837380+00:00
smalltowncustom.se,se,2026-08-01,True,True,48,wayback,2026-07-31T09:22:22.837380+00:00
danielpehrsson.se,se,2026-08-01,True,True,45,wayback,2026-07-31T09:22:22.837380+00:00
ungskargard.se,se,2026-08-01,True,True,45,wayback,2026-07-31T09:22:22.837380+00:00
visinge.se,se,2026-08-01,True,True,43,wayback,2026-07-31T09:22:22.837380+00:00
anche.se,se,2026-08-01,True,True,42,wayback,2026-07-31T09:22:22.837380+00:00
venturelabs.se,se,2026-08-01,True,True,42,wayback,2026-07-31T09:22:22.837380+00:00
gravmaskin.nu,nu,2026-08-01,True,True,41,wayback,2026-07-31T09:22:22.837380+00:00
hellsingborg.se,se,2026-08-01,True,True,41,wayback,2026-07-31T09:22:22.837380+00:00
vis-mig.nu,nu,2026-08-01,True,True,38,wayback,2026-07-31T09:22:22.837380+00:00
hemdel.se,se,2026-08-01,True,True,36,wayback,2026-07-31T09:22:22.837380+00:00
vonny.se,se,2026-08-01,True,True,35,wayback,2026-07-31T09:22:22.837380+00:00
enkreativdesign.se,se,2026-08-01,True,True,31,wayback,2026-07-31T09:22:22.837380+00:00
siltbuster.se,se,2026-08-01,True,True,31,wayback,2026-07-31T09:22:22.837380+00:00
skummeslovsstrand-restaurang.se,se,2026-08-01,True,True,28,wayback,2026-07-31T09:22:22.837380+00:00
ackesmaskinstation.se,se,2026-08-01,True,True,27,wayback,2026-07-31T09:22:22.837380+00:00
vagradubbelhojning.nu,nu,2026-08-01,True,True,26,wayback,2026-07-31T09:22:22.837380+00:00
smyckenilin.se,se,2026-08-01,True,True,25,wayback,2026-07-31T09:22:22.837380+00:00
heart4ads.se,se,2026-08-01,True,True,24,wayback,2026-07-31T09:22:22.837380+00:00
kashmir.se,se,2026-08-01,True,True,24,wayback,2026-07-31T09:22:22.837380+00:00
slapvagnar.nu,nu,2026-08-01,True,True,24,wayback,2026-07-31T09:22:22.837380+00:00
ansiktslyftning.se,se,2026-08-01,True,True,19,wayback,2026-07-31T09:22:22.837380+00:00
curbfood.se,se,2026-08-01,True,True,19,wayback,2026-07-31T09:22:22.837380+00:00
xn--turbtar-hxa.se,se,2026-08-01,True,True,19,wayback,2026-07-31T09:22:22.837380+00:00
customprints.se,se,2026-08-01,True,True,17,wayback,2026-07-31T09:22:22.837380+00:00
elgrillar.nu,nu,2026-08-01,True,True,17,wayback,2026-07-31T09:22:22.837380+00:00
epsteinssthlm.se,se,2026-08-01,True,True,17,wayback,2026-07-31T09:22:22.837380+00:00
doors.nu,nu,2026-08-01,True,True,15,wayback,2026-07-31T09:22:22.837380+00:00
akuttjanster.se,se,2026-08-01,True,True,14,wayback,2026-07-31T09:22:22.837380+00:00
nasskolj.se,se,2026-08-01,True,True,14,wayback,2026-07-31T09:22:22.837380+00:00
foundation.nu,nu,2026-08-01,True,True,12,wayback,2026-07-31T09:22:22.837380+00:00
kritiskoffentlighet.se,se,2026-08-01,True,True,12,wayback,2026-07-31T09:22:22.837380+00:00
sunnyday.se,se,2026-08-01,True,True,11,wayback,2026-07-31T09:22:22.837380+00:00
akustikplattor.se,se,2026-08-01,True,True,9,wayback,2026-07-31T09:22:22.837380+00:00
gravmaskiner.nu,nu,2026-08-01,True,True,9,wayback,2026-07-31T09:22:22.837380+00:00
kbgfonster.se,se,2026-08-01,True,True,9,wayback,2026-07-31T09:22:22.837380+00:00
kristinasuhk.se,se,2026-08-01,True,True,9,wayback,2026-07-31T09:22:22.837380+00:00
xn--mbrasknhet-15a3s.se,se,2026-08-01,True,True,9,wayback,2026-07-31T09:22:22.837380+00:00
cyclingpark.se,se,2026-08-01,True,True,8,wayback,2026-07-31T09:22:22.837380+00:00
maximalmarinpower.se,se,2026-08-01,True,True,8,wayback,2026-07-31T09:22:22.837380+00:00
patrikljung.se,se,2026-08-01,True,True,8,wayback,2026-07-31T09:22:22.837380+00:00
xn--grvmaskin-w2a.nu,nu,2026-08-01,True,True,8,wayback,2026-07-31T09:22:22.837380+00:00
compd.se,se,2026-08-01,True,True,7,wayback,2026-07-31T09:22:22.837380+00:00
epit.se,se,2026-08-01,True,True,7,wayback,2026-07-31T09:22:22.837380+00:00
eventlokalstockholm.se,se,2026-08-01,True,True,7,wayback,2026-07-31T09:22:22.837380+00:00
patrikpersson.se,se,2026-08-01,True,True,7,wayback,2026-07-31T09:22:22.837380+00:00
coti.se,se,2026-08-01,True,True,6,wayback,2026-07-31T09:22:22.837380+00:00
kiku.se,se,2026-08-01,True,True,6,wayback,2026-07-31T09:22:22.837380+00:00
mariecurie.se,se,2026-08-01,True,True,6,wayback,2026-07-31T09:22:22.837380+00:00
massagesundbyberg.se,se,2026-08-01,True,True,6,wayback,2026-07-31T09:22:22.837380+00:00
matmera.se,se,2026-08-01,True,True,6,wayback,2026-07-31T09:22:22.837380+00:00
nenz.se,se,2026-08-01,True,True,6,wayback,2026-07-31T09:22:22.837380+00:00
borreliavaccine.nu,nu,2026-08-01,True,True,5,wayback,2026-07-31T09:22:22.837380+00:00
denguevaccine.nu,nu,2026-08-01,True,True,5,wayback,2026-07-31T09:22:22.837380+00:00
eventbemanning.se,se,2026-08-01,True,True,5,wayback,2026-07-31T09:22:22.837380+00:00
