domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
cbmonline.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
flina.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
frihetsverige.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
insania.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
ipadnytt.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
mokum.nu,nu,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
samtidskonstkartan.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
sbpr.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
studiofabuleuse.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
sydskanskakennelklubben.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
vinjakt.se,se,2026-07-01,True,True,500,wayback,2026-06-30T11:04:46.730521+00:00
it-is.se,se,2026-07-01,True,True,468,wayback,2026-06-30T11:04:46.730521+00:00
larshammaren.se,se,2026-07-01,True,True,434,wayback,2026-06-30T11:04:46.730521+00:00
renarevatten.se,se,2026-07-01,True,True,393,wayback,2026-06-30T11:04:46.730521+00:00
norrvikenssjosportcenter.se,se,2026-07-01,True,True,350,wayback,2026-06-30T11:04:46.730521+00:00
hundbloggar.se,se,2026-07-01,True,True,283,wayback,2026-06-30T11:04:46.730521+00:00
norbergpartner.se,se,2026-07-01,True,True,268,wayback,2026-06-30T11:04:46.730521+00:00
luckystonesofsweden.se,se,2026-07-01,True,True,264,wayback,2026-06-30T11:04:46.730521+00:00
okvasteras.se,se,2026-07-01,True,True,204,wayback,2026-06-30T11:04:46.730521+00:00
semsstad.se,se,2026-07-01,True,True,174,wayback,2026-06-30T11:04:46.730521+00:00
internos.se,se,2026-07-01,True,True,171,wayback,2026-06-30T11:04:46.730521+00:00
foam.se,se,2026-07-01,True,True,165,wayback,2026-06-30T11:04:46.730521+00:00
wahida.se,se,2026-07-01,True,True,135,wayback,2026-06-30T11:04:46.730521+00:00
insureacademy.se,se,2026-07-01,True,True,115,wayback,2026-06-30T11:04:46.730521+00:00
ringbolaget.se,se,2026-07-01,True,True,111,wayback,2026-06-30T11:04:46.730521+00:00
jobbamedoss.se,se,2026-07-01,True,True,83,wayback,2026-06-30T11:04:46.730521+00:00
malinandersson.nu,nu,2026-07-01,True,True,81,wayback,2026-06-30T11:04:46.730521+00:00
nyttlan.se,se,2026-07-01,True,True,75,wayback,2026-06-30T11:04:46.730521+00:00
xmrpri.se,se,2026-07-01,True,True,66,wayback,2026-06-30T11:04:46.730521+00:00
lillpitealven.se,se,2026-07-01,True,True,53,wayback,2026-06-30T11:04:46.730521+00:00
taxibil24.se,se,2026-07-01,True,True,50,wayback,2026-06-30T11:04:46.730521+00:00
linkhome.se,se,2026-07-01,True,True,48,wayback,2026-06-30T11:04:46.730521+00:00
ostgotabil.se,se,2026-07-01,True,True,42,wayback,2026-06-30T11:04:46.730521+00:00
callforhelp.se,se,2026-07-01,True,True,34,wayback,2026-06-30T11:04:46.730521+00:00
synasonline.se,se,2026-07-01,True,True,34,wayback,2026-06-30T11:04:46.730521+00:00
ivip.se,se,2026-07-01,True,True,32,wayback,2026-06-30T11:04:46.730521+00:00
onkelzeke.se,se,2026-07-01,True,True,31,wayback,2026-06-30T11:04:46.730521+00:00
byggelitikista.se,se,2026-07-01,True,True,30,wayback,2026-06-30T11:04:46.730521+00:00
charmefrisering.se,se,2026-07-01,True,True,28,wayback,2026-06-30T11:04:46.730521+00:00
saeha.se,se,2026-07-01,True,True,28,wayback,2026-06-30T11:04:46.730521+00:00
incubateconsulting.se,se,2026-07-01,True,True,27,wayback,2026-06-30T11:04:46.730521+00:00
villanyheter.se,se,2026-07-01,True,True,27,wayback,2026-06-30T11:04:46.730521+00:00
flyttfirmanorrort.se,se,2026-07-01,True,True,26,wayback,2026-06-30T11:04:46.730521+00:00
midvault.nu,nu,2026-07-01,True,True,24,wayback,2026-06-30T11:04:46.730521+00:00
flyttstad-gavle.se,se,2026-07-01,True,True,20,wayback,2026-06-30T11:04:46.730521+00:00
tfeldt.se,se,2026-07-01,True,True,18,wayback,2026-06-30T11:04:46.730521+00:00
xn--fljajohn-n4a.se,se,2026-07-01,True,True,18,wayback,2026-06-30T11:04:46.730521+00:00
noxabe.se,se,2026-07-01,True,True,17,wayback,2026-06-30T11:04:46.730521+00:00
saddevotion.se,se,2026-07-01,True,True,14,wayback,2026-06-30T11:04:46.730521+00:00
cadbrow.se,se,2026-07-01,True,True,13,wayback,2026-06-30T11:04:46.730521+00:00
firstcontent.se,se,2026-07-01,True,True,8,wayback,2026-06-30T11:04:46.730521+00:00
hubby.nu,nu,2026-07-01,True,True,8,wayback,2026-06-30T11:04:46.730521+00:00
lswab.se,se,2026-07-01,True,True,8,wayback,2026-06-30T11:04:46.730521+00:00
retrolive.se,se,2026-07-01,True,True,8,wayback,2026-06-30T11:04:46.730521+00:00
sandrian.se,se,2026-07-01,True,True,8,wayback,2026-06-30T11:04:46.730521+00:00
lovfelt.se,se,2026-07-01,True,True,7,wayback,2026-06-30T11:04:46.730521+00:00
cykelstrumpor.se,se,2026-07-01,True,True,6,wayback,2026-06-30T11:04:46.730521+00:00
folkbro.se,se,2026-07-01,True,True,6,wayback,2026-06-30T11:04:46.730521+00:00
sampler.se,se,2026-07-01,True,True,6,wayback,2026-06-30T11:04:46.730521+00:00
accelerationroom.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
acesevents.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
fooddots.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
forsvarare.nu,nu,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
juridikboxen.nu,nu,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
legalasaservice.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
malsagandebitrade.nu,nu,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
storakupor.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
theluxafterwork.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
theluxclub.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
theluxpalma.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
wos-works.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
xn--frsvarare-07a.se,se,2026-07-01,True,True,5,wayback,2026-06-30T11:04:46.730521+00:00
collectumpay.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
crico.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
everand.nu,nu,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
httpswwwquirkycampers.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
kortvecka.nu,nu,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
leveransa.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
nftclearinghou.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
nordic-s.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
novensa.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
odigido.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
stjservice.se,se,2026-07-01,True,True,4,wayback,2026-06-30T11:04:46.730521+00:00
ab04.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
abff15.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
abt06.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
actusflyttab.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
akvarieflickan.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
camar365.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
dadsonband.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
datawarehouse.nu,nu,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
ferentis.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
innoswedcap.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
isaidso.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
lebud.se,se,2026-07-01,True,True,3,wayback,2026-06-30T11:04:46.730521+00:00
