domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
allawebbhotell.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
casinoriket.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
containerrally.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
copyrightsidan.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
cordovan.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
gotlandsgubben.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
klixo.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
klunka.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
letterlijk.nu,nu,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
packleverantorer.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
projektgaranti.se,se,2026-07-27,True,True,500,wayback,2026-07-26T08:33:45.015152+00:00
rexhyrstudio.se,se,2026-07-27,True,True,377,wayback,2026-07-26T08:33:45.015152+00:00
futonshopen.se,se,2026-07-27,True,True,310,wayback,2026-07-26T08:33:45.015152+00:00
sivertmalare.nu,nu,2026-07-27,True,True,296,wayback,2026-07-26T08:33:45.015152+00:00
olando.se,se,2026-07-27,True,True,294,wayback,2026-07-26T08:33:45.015152+00:00
xn--digitalstd-mcb.se,se,2026-07-27,True,True,291,wayback,2026-07-26T08:33:45.015152+00:00
nevelus.se,se,2026-07-27,True,True,286,wayback,2026-07-26T08:33:45.015152+00:00
cyklisten.se,se,2026-07-27,True,True,249,wayback,2026-07-26T08:33:45.015152+00:00
xn--hugofjderben-lcb.se,se,2026-07-27,True,True,223,wayback,2026-07-26T08:33:45.015152+00:00
halvarsglass.se,se,2026-07-27,True,True,201,wayback,2026-07-26T08:33:45.015152+00:00
korjournalen.se,se,2026-07-27,True,True,161,wayback,2026-07-26T08:33:45.015152+00:00
hairpro.se,se,2026-07-27,True,True,131,wayback,2026-07-26T08:33:45.015152+00:00
hantverkspartner.se,se,2026-07-27,True,True,123,wayback,2026-07-26T08:33:45.015152+00:00
susannabolaget.se,se,2026-07-27,True,True,116,wayback,2026-07-26T08:33:45.015152+00:00
alfbok.se,se,2026-07-27,True,True,105,wayback,2026-07-26T08:33:45.015152+00:00
pancakes.se,se,2026-07-27,True,True,105,wayback,2026-07-26T08:33:45.015152+00:00
malarslott.nu,nu,2026-07-27,True,True,103,wayback,2026-07-26T08:33:45.015152+00:00
residencestyling.se,se,2026-07-27,True,True,96,wayback,2026-07-26T08:33:45.015152+00:00
handledsskydd.nu,nu,2026-07-27,True,True,90,wayback,2026-07-26T08:33:45.015152+00:00
kharelservice.se,se,2026-07-27,True,True,88,wayback,2026-07-26T08:33:45.015152+00:00
trendr.nu,nu,2026-07-27,True,True,77,wayback,2026-07-26T08:33:45.015152+00:00
prylshop.se,se,2026-07-27,True,True,74,wayback,2026-07-26T08:33:45.015152+00:00
kosu.se,se,2026-07-27,True,True,70,wayback,2026-07-26T08:33:45.015152+00:00
frametech.se,se,2026-07-27,True,True,69,wayback,2026-07-26T08:33:45.015152+00:00
adressbyte.se,se,2026-07-27,True,True,65,wayback,2026-07-26T08:33:45.015152+00:00
patiensgratis.se,se,2026-07-27,True,True,61,wayback,2026-07-26T08:33:45.015152+00:00
nordicskischool.se,se,2026-07-27,True,True,56,wayback,2026-07-26T08:33:45.015152+00:00
gsasia.se,se,2026-07-27,True,True,54,wayback,2026-07-26T08:33:45.015152+00:00
sunsellab.se,se,2026-07-27,True,True,53,wayback,2026-07-26T08:33:45.015152+00:00
musikermotrasism.nu,nu,2026-07-27,True,True,51,wayback,2026-07-26T08:33:45.015152+00:00
klaswigren.se,se,2026-07-27,True,True,41,wayback,2026-07-26T08:33:45.015152+00:00
confrere.se,se,2026-07-27,True,True,35,wayback,2026-07-26T08:33:45.015152+00:00
cavato.se,se,2026-07-27,True,True,32,wayback,2026-07-26T08:33:45.015152+00:00
stickatavhelena.se,se,2026-07-27,True,True,32,wayback,2026-07-26T08:33:45.015152+00:00
wideklev.se,se,2026-07-27,True,True,29,wayback,2026-07-26T08:33:45.015152+00:00
sunbelt.se,se,2026-07-27,True,True,28,wayback,2026-07-26T08:33:45.015152+00:00
anderssonlindblom.se,se,2026-07-27,True,True,27,wayback,2026-07-26T08:33:45.015152+00:00
24style.se,se,2026-07-27,True,True,26,wayback,2026-07-26T08:33:45.015152+00:00
nordicventure.se,se,2026-07-27,True,True,25,wayback,2026-07-26T08:33:45.015152+00:00
aktiebloggen.se,se,2026-07-27,True,True,22,wayback,2026-07-26T08:33:45.015152+00:00
webfamily.se,se,2026-07-27,True,True,22,wayback,2026-07-26T08:33:45.015152+00:00
11oaks.se,se,2026-07-27,True,True,21,wayback,2026-07-26T08:33:45.015152+00:00
noteras.se,se,2026-07-27,True,True,21,wayback,2026-07-26T08:33:45.015152+00:00
coolstoff.se,se,2026-07-27,True,True,19,wayback,2026-07-26T08:33:45.015152+00:00
originalcosmetics.se,se,2026-07-27,True,True,18,wayback,2026-07-26T08:33:45.015152+00:00
swigelstrom.se,se,2026-07-27,True,True,18,wayback,2026-07-26T08:33:45.015152+00:00
weddingbox.se,se,2026-07-27,True,True,18,wayback,2026-07-26T08:33:45.015152+00:00
jobblistan.nu,nu,2026-07-27,True,True,16,wayback,2026-07-26T08:33:45.015152+00:00
creaholic.se,se,2026-07-27,True,True,15,wayback,2026-07-26T08:33:45.015152+00:00
festivalagenda.nu,nu,2026-07-27,True,True,14,wayback,2026-07-26T08:33:45.015152+00:00
nallekungen.se,se,2026-07-27,True,True,14,wayback,2026-07-26T08:33:45.015152+00:00
tatu.se,se,2026-07-27,True,True,14,wayback,2026-07-26T08:33:45.015152+00:00
walmo.se,se,2026-07-27,True,True,12,wayback,2026-07-26T08:33:45.015152+00:00
klientia.se,se,2026-07-27,True,True,11,wayback,2026-07-26T08:33:45.015152+00:00
krookodil.se,se,2026-07-27,True,True,11,wayback,2026-07-26T08:33:45.015152+00:00
mate.nu,nu,2026-07-27,True,True,11,wayback,2026-07-26T08:33:45.015152+00:00
kreativmohlin.se,se,2026-07-27,True,True,10,wayback,2026-07-26T08:33:45.015152+00:00
kyrkporten.nu,nu,2026-07-27,True,True,9,wayback,2026-07-26T08:33:45.015152+00:00
kyrkporten.se,se,2026-07-27,True,True,9,wayback,2026-07-26T08:33:45.015152+00:00
okeyboard.se,se,2026-07-27,True,True,9,wayback,2026-07-26T08:33:45.015152+00:00
xn--rknare-bua.nu,nu,2026-07-27,True,True,9,wayback,2026-07-26T08:33:45.015152+00:00
coronationcrown.se,se,2026-07-27,True,True,8,wayback,2026-07-26T08:33:45.015152+00:00
guldhedenshemservice.se,se,2026-07-27,True,True,8,wayback,2026-07-26T08:33:45.015152+00:00
icatserver.nu,nu,2026-07-27,True,True,8,wayback,2026-07-26T08:33:45.015152+00:00
maltatravel.se,se,2026-07-27,True,True,8,wayback,2026-07-26T08:33:45.015152+00:00
swixcreator.se,se,2026-07-27,True,True,8,wayback,2026-07-26T08:33:45.015152+00:00
xn--bilverkstadrebro-wwb.se,se,2026-07-27,True,True,8,wayback,2026-07-26T08:33:45.015152+00:00
cordovangroup.se,se,2026-07-27,True,True,7,wayback,2026-07-26T08:33:45.015152+00:00
cayo.se,se,2026-07-27,True,True,6,wayback,2026-07-26T08:33:45.015152+00:00
noteras.nu,nu,2026-07-27,True,True,6,wayback,2026-07-26T08:33:45.015152+00:00
professional-inventors.se,se,2026-07-27,True,True,6,wayback,2026-07-26T08:33:45.015152+00:00
professionalinventors.se,se,2026-07-27,True,True,6,wayback,2026-07-26T08:33:45.015152+00:00
webifi.se,se,2026-07-27,True,True,6,wayback,2026-07-26T08:33:45.015152+00:00
anderszorn.se,se,2026-07-27,True,True,5,wayback,2026-07-26T08:33:45.015152+00:00
catelou.se,se,2026-07-27,True,True,5,wayback,2026-07-26T08:33:45.015152+00:00
jongerenpanel.nu,nu,2026-07-27,True,True,5,wayback,2026-07-26T08:33:45.015152+00:00
norralindholmen.se,se,2026-07-27,True,True,5,wayback,2026-07-26T08:33:45.015152+00:00
