domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
3mmc.nu,nu,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
baai.nu,nu,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
box9.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
detonator.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
fazerfoodco.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
flightsim.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
galanaxot.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
luleabusinessregion.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
paivy.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
pleasureeroticshop.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
pluto.nu,nu,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
svenskatak.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
varbergsbibliotek.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
xn--vrdcentralen-tcb.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
zoomat.se,se,2026-08-23,True,True,500,wayback,2026-08-22T07:56:16.896698+00:00
sthlmacademy.se,se,2026-08-23,True,True,453,wayback,2026-08-22T07:56:16.896698+00:00
amarilla.se,se,2026-08-23,True,True,426,wayback,2026-08-22T07:56:16.896698+00:00
linusschatullmakare.se,se,2026-08-23,True,True,413,wayback,2026-08-22T07:56:16.896698+00:00
funtastiq.se,se,2026-08-23,True,True,408,wayback,2026-08-22T07:56:16.896698+00:00
bezr.se,se,2026-08-23,True,True,388,wayback,2026-08-22T07:56:16.896698+00:00
jaktkamrats.se,se,2026-08-23,True,True,363,wayback,2026-08-22T07:56:16.896698+00:00
cutlux.se,se,2026-08-23,True,True,348,wayback,2026-08-22T07:56:16.896698+00:00
floristas.se,se,2026-08-23,True,True,344,wayback,2026-08-22T07:56:16.896698+00:00
glassigt.se,se,2026-08-23,True,True,282,wayback,2026-08-22T07:56:16.896698+00:00
mk-son.se,se,2026-08-23,True,True,273,wayback,2026-08-22T07:56:16.896698+00:00
malungsbokhandel.se,se,2026-08-23,True,True,270,wayback,2026-08-22T07:56:16.896698+00:00
westermalmssushi.se,se,2026-08-23,True,True,265,wayback,2026-08-22T07:56:16.896698+00:00
kasinofreespins.se,se,2026-08-23,True,True,262,wayback,2026-08-22T07:56:16.896698+00:00
icabasic.se,se,2026-08-23,True,True,258,wayback,2026-08-22T07:56:16.896698+00:00
kinesiskmedicin.se,se,2026-08-23,True,True,253,wayback,2026-08-22T07:56:16.896698+00:00
blomstoggren.nu,nu,2026-08-23,True,True,237,wayback,2026-08-22T07:56:16.896698+00:00
stolavsledenshop.se,se,2026-08-23,True,True,234,wayback,2026-08-22T07:56:16.896698+00:00
unnadigresan.se,se,2026-08-23,True,True,214,wayback,2026-08-22T07:56:16.896698+00:00
spanga-kista.se,se,2026-08-23,True,True,213,wayback,2026-08-22T07:56:16.896698+00:00
pundtillkronor.se,se,2026-08-23,True,True,183,wayback,2026-08-22T07:56:16.896698+00:00
gourmania.se,se,2026-08-23,True,True,172,wayback,2026-08-22T07:56:16.896698+00:00
vanligavillan.se,se,2026-08-23,True,True,168,wayback,2026-08-22T07:56:16.896698+00:00
digitalhem.se,se,2026-08-23,True,True,155,wayback,2026-08-22T07:56:16.896698+00:00
kooperativetlaxen.se,se,2026-08-23,True,True,154,wayback,2026-08-22T07:56:16.896698+00:00
smara.nu,nu,2026-08-23,True,True,153,wayback,2026-08-22T07:56:16.896698+00:00
cykelbistron.se,se,2026-08-23,True,True,147,wayback,2026-08-22T07:56:16.896698+00:00
grabab.se,se,2026-08-23,True,True,143,wayback,2026-08-22T07:56:16.896698+00:00
polo.nu,nu,2026-08-23,True,True,140,wayback,2026-08-22T07:56:16.896698+00:00
vandrarhemmetkejsaren.se,se,2026-08-23,True,True,138,wayback,2026-08-22T07:56:16.896698+00:00
skyddat.nu,nu,2026-08-23,True,True,136,wayback,2026-08-22T07:56:16.896698+00:00
mardones.se,se,2026-08-23,True,True,127,wayback,2026-08-22T07:56:16.896698+00:00
pristine-service.se,se,2026-08-23,True,True,120,wayback,2026-08-22T07:56:16.896698+00:00
melandersundbom.se,se,2026-08-23,True,True,118,wayback,2026-08-22T07:56:16.896698+00:00
