domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
clagard.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
cpa-chiptuning.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
dansbanan.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
epfoto.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
formabooks.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
konstiorebrolan.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
modernwines.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
mrcompany.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
rapsbollen.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
sawdustbygg.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
skondalsakeri.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
skonhetskollektivet.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
vitaminarc.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
wellindal.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
wellness-wisdom-wealth.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
wildzeal.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
xn--tervinningshelgen-7qb.se,se,2026-08-02,True,True,500,wayback,2026-08-01T09:03:43.774141+00:00
earbud.se,se,2026-08-02,True,True,467,wayback,2026-08-01T09:03:43.774141+00:00
lillamolle.se,se,2026-08-02,True,True,452,wayback,2026-08-01T09:03:43.774141+00:00
energiraddalarna.se,se,2026-08-02,True,True,450,wayback,2026-08-01T09:03:43.774141+00:00
energirad-dalarna.se,se,2026-08-02,True,True,430,wayback,2026-08-01T09:03:43.774141+00:00
energirad-sverige.se,se,2026-08-02,True,True,410,wayback,2026-08-01T09:03:43.774141+00:00
energiradsverige.se,se,2026-08-02,True,True,405,wayback,2026-08-01T09:03:43.774141+00:00
poshdogs.se,se,2026-08-02,True,True,382,wayback,2026-08-01T09:03:43.774141+00:00
travelmagasinet.se,se,2026-08-02,True,True,379,wayback,2026-08-01T09:03:43.774141+00:00
nuas-uppsala2023.se,se,2026-08-02,True,True,358,wayback,2026-08-01T09:03:43.774141+00:00
grefbergs.se,se,2026-08-02,True,True,351,wayback,2026-08-01T09:03:43.774141+00:00
convolutor.se,se,2026-08-02,True,True,348,wayback,2026-08-01T09:03:43.774141+00:00
power-drift.se,se,2026-08-02,True,True,342,wayback,2026-08-01T09:03:43.774141+00:00
cedex.se,se,2026-08-02,True,True,335,wayback,2026-08-01T09:03:43.774141+00:00
lionsclubfarila.se,se,2026-08-02,True,True,266,wayback,2026-08-01T09:03:43.774141+00:00
slapcentralen.se,se,2026-08-02,True,True,263,wayback,2026-08-01T09:03:43.774141+00:00
kaffevision.se,se,2026-08-02,True,True,261,wayback,2026-08-01T09:03:43.774141+00:00
svartberg.se,se,2026-08-02,True,True,259,wayback,2026-08-01T09:03:43.774141+00:00
olebjork.se,se,2026-08-02,True,True,252,wayback,2026-08-01T09:03:43.774141+00:00
hyrden.se,se,2026-08-02,True,True,239,wayback,2026-08-01T09:03:43.774141+00:00
alfredsmarzipanpraliner.se,se,2026-08-02,True,True,228,wayback,2026-08-01T09:03:43.774141+00:00
bengt-oves.se,se,2026-08-02,True,True,221,wayback,2026-08-01T09:03:43.774141+00:00
swifties.se,se,2026-08-02,True,True,216,wayback,2026-08-01T09:03:43.774141+00:00
ahlastvagnar.se,se,2026-08-02,True,True,211,wayback,2026-08-01T09:03:43.774141+00:00
provkorning.se,se,2026-08-02,True,True,211,wayback,2026-08-01T09:03:43.774141+00:00
sportum.se,se,2026-08-02,True,True,186,wayback,2026-08-01T09:03:43.774141+00:00
fiskedax.se,se,2026-08-02,True,True,182,wayback,2026-08-01T09:03:43.774141+00:00
servai.se,se,2026-08-02,True,True,169,wayback,2026-08-01T09:03:43.774141+00:00
tvcentralen.se,se,2026-08-02,True,True,160,wayback,2026-08-01T09:03:43.774141+00:00
googlesida.se,se,2026-08-02,True,True,159,wayback,2026-08-01T09:03:43.774141+00:00
fatbikesweden.se,se,2026-08-02,True,True,153,wayback,2026-08-01T09:03:43.774141+00:00
