domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
a-sitesolutions.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
a13.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
accrediteradadhdcoachutbildning.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
activenontoxic.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
ad2purch.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
adamin.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
adamnordstrom.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
adhdacademy.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
adhdcoacheducation.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
adhdcoachingeducation.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
adhdcoachutbildning.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
adrop.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
agron.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
ahocas.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
aifuture.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
aipodd.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
airv.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
algbutiken.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
aliq.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
alla-kan-skriva.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
allergiexperternaacademy.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
amoaccessories.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
amsador.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
andasai.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
andelslaget.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
andreaslidbom.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
annaaurusell.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
annasteen.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
antikstallet.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
arcvice.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
askswe.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
atatimber.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
av-a.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
avloppleads.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
babybody.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
beautygruppen.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
belysningspartner.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bgprouter.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bigbangweb.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bildtext.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
billproffs.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
biluthyrningmalmo.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bjornkassan.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
blackdiamondstudio.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
blackfridaydeal.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
blackfridayerbjudanden.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
blackfridayfynd.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
blekingebil.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
blippsverige.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bokanolltrefem.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bokprylar.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bordan.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
boxbloggen.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
breathmax.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
brfflaggspelet.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
brfskogsparken6.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
briljeramera.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
brunnshogsodlarna.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
burenkonsult.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
byggkontakt.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
bymflexeus.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
calanex.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
capewhite.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
capsofsweden.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
cardisafe.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
cashgpt.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
cermine.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
changemakersthemovement.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
ckhome.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
clarksoncrafting.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
clarusinvest.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
classicvintagehome.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
cliiry.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
clsgroup.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
coasterstore.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
cocktailtips.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
codev.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
collabsweden.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
completliving.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
complicado.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
consale.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
constaco.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
contentmaskinen.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
coola.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
crochetapeiron.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
crsa.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
cryptocapital.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
customerexperience.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
daemy.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
danielstrade.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
numrera.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
resportalen.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
xn--hyrbilumeflygplats-dub.nu,nu,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
xn--silverlken-kcb.se,se,2026-01-30,True,True,,google,2026-01-29T08:16:52.899141+00:00
