domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
amario.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
annikastrollkonst.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
casino-guide.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
cjb.nu,nu,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
fotosmyckenbutik.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
gimofff.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
itdr.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
kirsam.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
lodge.nu,nu,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
photoaman.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
timepost.se,se,2026-07-03,True,True,500,wayback,2026-07-02T11:03:54.920623+00:00
pusselmatta.se,se,2026-07-03,True,True,413,wayback,2026-07-02T11:03:54.920623+00:00
cibris.se,se,2026-07-03,True,True,325,wayback,2026-07-02T11:03:54.920623+00:00
posterandwheels.se,se,2026-07-03,True,True,322,wayback,2026-07-02T11:03:54.920623+00:00
vadmenas.se,se,2026-07-03,True,True,318,wayback,2026-07-02T11:03:54.920623+00:00
klimakteriet.nu,nu,2026-07-03,True,True,273,wayback,2026-07-02T11:03:54.920623+00:00
ayo.nu,nu,2026-07-03,True,True,270,wayback,2026-07-02T11:03:54.920623+00:00
venpuls.se,se,2026-07-03,True,True,245,wayback,2026-07-02T11:03:54.920623+00:00
amazonen.se,se,2026-07-03,True,True,224,wayback,2026-07-02T11:03:54.920623+00:00
forsmanfastigheter.se,se,2026-07-03,True,True,219,wayback,2026-07-02T11:03:54.920623+00:00
dalarokoren.se,se,2026-07-03,True,True,189,wayback,2026-07-02T11:03:54.920623+00:00
pungt.se,se,2026-07-03,True,True,185,wayback,2026-07-02T11:03:54.920623+00:00
lejlas.se,se,2026-07-03,True,True,147,wayback,2026-07-02T11:03:54.920623+00:00
villascc.se,se,2026-07-03,True,True,146,wayback,2026-07-02T11:03:54.920623+00:00
anitadorazio.se,se,2026-07-03,True,True,137,wayback,2026-07-02T11:03:54.920623+00:00
karforeningenmedium.nu,nu,2026-07-03,True,True,130,wayback,2026-07-02T11:03:54.920623+00:00
husboxen.se,se,2026-07-03,True,True,129,wayback,2026-07-02T11:03:54.920623+00:00
peoplewise.se,se,2026-07-03,True,True,124,wayback,2026-07-02T11:03:54.920623+00:00
3skatter.se,se,2026-07-03,True,True,116,wayback,2026-07-02T11:03:54.920623+00:00
runemyr.se,se,2026-07-03,True,True,112,wayback,2026-07-02T11:03:54.920623+00:00
tandvard.nu,nu,2026-07-03,True,True,100,wayback,2026-07-02T11:03:54.920623+00:00
acendo.se,se,2026-07-03,True,True,98,wayback,2026-07-02T11:03:54.920623+00:00
klanten.nu,nu,2026-07-03,True,True,95,wayback,2026-07-02T11:03:54.920623+00:00
