domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
1074.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
10lakesswimrun.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
1135.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
8care.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
8rehab.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
a3doc.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
acybersec.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
agerius.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
agiboo.nu,nu,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
airtaxi.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
alingsasbasket.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
allayrken.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
allehandan.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
allureessence.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
alvik257.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
amerikanskgodis.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
athreedoc.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
atomkyrkan.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
authenticearth.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
axelstorp.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
axelstorpstjanster.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
axtab.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
babyspinner.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
bakomai.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
barq.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
barson.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
beaniesthlm.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
beautybyjowashop.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
bekiri.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
beredskapslagret.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
beveiligen.nu,nu,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
bewaken.nu,nu,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
biljettsvenskan.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
bnimbl.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
brofinder.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
byggvvs.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
candelle.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
carolinebohn.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
cartz.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
cb66.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
ccguld.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
cleanfreind.se,se,2026-03-19,True,False,0,wayback,2026-03-18T09:19:32.499515+00:00
cleanfriend.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
climate.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
connexor.se,se,2026-03-19,True,,,wayback,2026-03-18T09:19:32.499515+00:00
