domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
aktiesite.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
anderswolke.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
byggbazar.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
dogtrip.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
fakefactory.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
iqf-karlstad.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
kbeautybutiken.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
lunamirage.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
macskal.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
minagator.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
mrgreat.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
olandsfiske.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
prihlas.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
rooseum.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
sanibel.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
strikeout.nu,nu,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
teamcozco.se,se,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
wakeupcall.nu,nu,2026-08-14,True,True,500,wayback,2026-08-13T08:32:03.073094+00:00
locali.se,se,2026-08-14,True,True,491,wayback,2026-08-13T08:32:03.073094+00:00
terpenetemple.se,se,2026-08-14,True,True,465,wayback,2026-08-13T08:32:03.073094+00:00
kasbah.se,se,2026-08-14,True,True,427,wayback,2026-08-13T08:32:03.073094+00:00
jarvsoguiderna.se,se,2026-08-14,True,True,413,wayback,2026-08-13T08:32:03.073094+00:00
renovex.se,se,2026-08-14,True,True,410,wayback,2026-08-13T08:32:03.073094+00:00
maxli.nu,nu,2026-08-14,True,True,357,wayback,2026-08-13T08:32:03.073094+00:00
modprovet.se,se,2026-08-14,True,True,350,wayback,2026-08-13T08:32:03.073094+00:00
loyalsilver.se,se,2026-08-14,True,True,340,wayback,2026-08-13T08:32:03.073094+00:00
mardseleforsen.nu,nu,2026-08-14,True,True,335,wayback,2026-08-13T08:32:03.073094+00:00
wama-ab.se,se,2026-08-14,True,True,334,wayback,2026-08-13T08:32:03.073094+00:00
bohaget.se,se,2026-08-14,True,True,329,wayback,2026-08-13T08:32:03.073094+00:00
fancygirls.se,se,2026-08-14,True,True,301,wayback,2026-08-13T08:32:03.073094+00:00
novacare.se,se,2026-08-14,True,True,301,wayback,2026-08-13T08:32:03.073094+00:00
ebbasstudio.se,se,2026-08-14,True,True,277,wayback,2026-08-13T08:32:03.073094+00:00
ajob.nu,nu,2026-08-14,True,True,273,wayback,2026-08-13T08:32:03.073094+00:00
eastwind.se,se,2026-08-14,True,True,273,wayback,2026-08-13T08:32:03.073094+00:00
grillmastaren.se,se,2026-08-14,True,True,263,wayback,2026-08-13T08:32:03.073094+00:00
grovdammsugare.se,se,2026-08-14,True,True,242,wayback,2026-08-13T08:32:03.073094+00:00
farbrornsmedia.se,se,2026-08-14,True,True,237,wayback,2026-08-13T08:32:03.073094+00:00
moteskalender.se,se,2026-08-14,True,True,237,wayback,2026-08-13T08:32:03.073094+00:00
visaverkligheten.se,se,2026-08-14,True,True,229,wayback,2026-08-13T08:32:03.073094+00:00
jordproffset.se,se,2026-08-14,True,True,201,wayback,2026-08-13T08:32:03.073094+00:00
ptpablo.se,se,2026-08-14,True,True,199,wayback,2026-08-13T08:32:03.073094+00:00
kastrull.se,se,2026-08-14,True,True,193,wayback,2026-08-13T08:32:03.073094+00:00
rekvisita.nu,nu,2026-08-14,True,True,190,wayback,2026-08-13T08:32:03.073094+00:00
samjoproduktion.se,se,2026-08-14,True,True,181,wayback,2026-08-13T08:32:03.073094+00:00
framtidsbyranalska.se,se,2026-08-14,True,True,179,wayback,2026-08-13T08:32:03.073094+00:00
kassakon.se,se,2026-08-14,True,True,174,wayback,2026-08-13T08:32:03.073094+00:00
tjust2dagars.se,se,2026-08-14,True,True,174,wayback,2026-08-13T08:32:03.073094+00:00
tartine.se,se,2026-08-14,True,True,156,wayback,2026-08-13T08:32:03.073094+00:00
lyria.se,se,2026-08-14,True,True,128,wayback,2026-08-13T08:32:03.073094+00:00
wermteach.se,se,2026-08-14,True,True,121,wayback,2026-08-13T08:32:03.073094+00:00
lendit.se,se,2026-08-14,True,True,117,wayback,2026-08-13T08:32:03.073094+00:00
simskolahofors.se,se,2026-08-14,True,True,114,wayback,2026-08-13T08:32:03.073094+00:00
