domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
2or4.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
5starwellbeing.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
beaco.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
biggreeneggshop.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
kennelstayatplay.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
malarakademin.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
nancy66.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
norvae.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
radiogubben.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
riobiohultsfred.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
stockholmblockbuilders.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
thephuketexpress.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
tinglig.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
trojor.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
vananaloognaardigitaal.nu,nu,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
vivoria.se,se,2026-06-23,True,True,500,wayback,2026-06-22T14:19:01.274018+00:00
seenit.se,se,2026-06-23,True,True,478,wayback,2026-06-22T14:19:01.274018+00:00
dentalrecords.se,se,2026-06-23,True,True,470,wayback,2026-06-22T14:19:01.274018+00:00
upplevelsekartan.se,se,2026-06-23,True,True,457,wayback,2026-06-22T14:19:01.274018+00:00
laxensforskola.se,se,2026-06-23,True,True,445,wayback,2026-06-22T14:19:01.274018+00:00
powerbank.nu,nu,2026-06-23,True,True,441,wayback,2026-06-22T14:19:01.274018+00:00
pengar360.se,se,2026-06-23,True,True,438,wayback,2026-06-22T14:19:01.274018+00:00
proffsbildelar.se,se,2026-06-23,True,True,423,wayback,2026-06-22T14:19:01.274018+00:00
bunkr.nu,nu,2026-06-23,True,True,395,wayback,2026-06-22T14:19:01.274018+00:00
solglimtenhealing.nu,nu,2026-06-23,True,True,353,wayback,2026-06-22T14:19:01.274018+00:00
ordbildljud.se,se,2026-06-23,True,True,351,wayback,2026-06-22T14:19:01.274018+00:00
lifepuzl.se,se,2026-06-23,True,True,328,wayback,2026-06-22T14:19:01.274018+00:00
thediverse.se,se,2026-06-23,True,True,326,wayback,2026-06-22T14:19:01.274018+00:00
webiver.se,se,2026-06-23,True,True,259,wayback,2026-06-22T14:19:01.274018+00:00
bohemdesign.se,se,2026-06-23,True,True,253,wayback,2026-06-22T14:19:01.274018+00:00
ripples.se,se,2026-06-23,True,True,225,wayback,2026-06-22T14:19:01.274018+00:00
herrhagstvatten.se,se,2026-06-23,True,True,219,wayback,2026-06-22T14:19:01.274018+00:00
hudvardinorden.se,se,2026-06-23,True,True,212,wayback,2026-06-22T14:19:01.274018+00:00
agfynd.se,se,2026-06-23,True,True,211,wayback,2026-06-22T14:19:01.274018+00:00
59320799.se,se,2026-06-23,True,True,204,wayback,2026-06-22T14:19:01.274018+00:00
bearmountain.se,se,2026-06-23,True,True,203,wayback,2026-06-22T14:19:01.274018+00:00
kjellolsson.se,se,2026-06-23,True,True,202,wayback,2026-06-22T14:19:01.274018+00:00
frisor-bena.se,se,2026-06-23,True,True,197,wayback,2026-06-22T14:19:01.274018+00:00
damrallyt.se,se,2026-06-23,True,True,177,wayback,2026-06-22T14:19:01.274018+00:00
bl-products.se,se,2026-06-23,True,True,176,wayback,2026-06-22T14:19:01.274018+00:00
dareconsulting.se,se,2026-06-23,True,True,170,wayback,2026-06-22T14:19:01.274018+00:00
waareetjij.nu,nu,2026-06-23,True,True,162,wayback,2026-06-22T14:19:01.274018+00:00
xn--husarbostder-ocb.se,se,2026-06-23,True,True,157,wayback,2026-06-22T14:19:01.274018+00:00
naknasanningen.se,se,2026-06-23,True,True,154,wayback,2026-06-22T14:19:01.274018+00:00
benhunt.se,se,2026-06-23,True,True,151,wayback,2026-06-22T14:19:01.274018+00:00
infowell.se,se,2026-06-23,True,True,147,wayback,2026-06-22T14:19:01.274018+00:00
nomigbg.se,se,2026-06-23,True,True,145,wayback,2026-06-22T14:19:01.274018+00:00
kindof.se,se,2026-06-23,True,True,134,wayback,2026-06-22T14:19:01.274018+00:00
lindskogsplatslageri.se,se,2026-06-23,True,True,131,wayback,2026-06-22T14:19:01.274018+00:00
advokatportalen.se,se,2026-06-23,True,True,129,wayback,2026-06-22T14:19:01.274018+00:00
affarsbruden.se,se,2026-06-23,True,True,126,wayback,2026-06-22T14:19:01.274018+00:00
jabuskennel.se,se,2026-06-23,True,True,123,wayback,2026-06-22T14:19:01.274018+00:00
nguhalsaevent.se,se,2026-06-23,True,True,117,wayback,2026-06-22T14:19:01.274018+00:00
salongbygrace.se,se,2026-06-23,True,True,114,wayback,2026-06-22T14:19:01.274018+00:00
