domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
21-15.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
217.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
3ratech.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
7h-stallning.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
achance.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
adhdcoachenlisa.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
adoredesign.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
adrianmode.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
advance.nu,nu,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
adventureavdelningen.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
adventurefamiljen.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
adventurehajen.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
ahoyboatshop.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
ahoystore.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
ahusbeachplay.nu,nu,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
aiaddition.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aiadviser.nu,nu,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
aiadviser.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
aievolve.nu,nu,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aievolve.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aiexpand.nu,nu,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aiforyou.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
airefine.nu,nu,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
airefine.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
airfoto.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
airsoft-pistol.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
aistadtips.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aistrategen.nu,nu,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aistrategin.nu,nu,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aistrategin.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
akai.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
akellius.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
akupunktur-stockholm.nu,nu,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
alassio.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
alexanderbroden.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aliceia.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
alicemaze.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
allaheterallan.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
allekad.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
alltomdata.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
alltomforsaljning.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
alltomlivet.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
alltommarknadsforing.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
alltomsokannonsering.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
alltomsokordsannonsering.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
alts.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
amarantherorden-malmo.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
anarchadev.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
anchorproduction.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
andasin.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
animatch.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
annbroconsulting.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
antennaria.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
antibite.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
antikbodenbobinen.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
apartly.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
apersonal.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
appelviksskolan.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
applbubblan.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
arboristshopen.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
arcticpay.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
arebarnvagnar.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
artandoffice.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
articpay.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
artifi.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
atelje-boxholm.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
ateljegalleri.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
atlasleads.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
averainkasso.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
aymanshop.se,se,2026-04-19,True,False,0,wayback,2026-04-18T10:35:48.593100+00:00
baccarat-casino.se,se,2026-04-19,True,,,wayback,2026-04-18T10:35:48.593100+00:00
