domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
allekokbar.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
bollestadgolf.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
ezoffice.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
f19vs.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
girls.nu,nu,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
lenasandelius.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
medieteknikdagarna.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
petergrannby.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
rattljus.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
rikslankarna.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
serielagret.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
vitaminbolaget.se,se,2026-08-04,True,True,500,wayback,2026-08-03T09:02:34.135029+00:00
xn--rrmokarepris-4ib.se,se,2026-08-04,True,True,455,wayback,2026-08-03T09:02:34.135029+00:00
boardyoga.se,se,2026-08-04,True,True,400,wayback,2026-08-03T09:02:34.135029+00:00
zone3.se,se,2026-08-04,True,True,355,wayback,2026-08-03T09:02:34.135029+00:00
fitnesslab.se,se,2026-08-04,True,True,333,wayback,2026-08-03T09:02:34.135029+00:00
brftornet.se,se,2026-08-04,True,True,231,wayback,2026-08-03T09:02:34.135029+00:00
touched.nu,nu,2026-08-04,True,True,225,wayback,2026-08-03T09:02:34.135029+00:00
entretakstockholm.se,se,2026-08-04,True,True,224,wayback,2026-08-03T09:02:34.135029+00:00
falg-dack.se,se,2026-08-04,True,True,216,wayback,2026-08-03T09:02:34.135029+00:00
designarkiv.se,se,2026-08-04,True,True,199,wayback,2026-08-03T09:02:34.135029+00:00
xn--rhodoskolgrilloxelsund-cic.se,se,2026-08-04,True,True,135,wayback,2026-08-03T09:02:34.135029+00:00
urbangrowth.se,se,2026-08-04,True,True,121,wayback,2026-08-03T09:02:34.135029+00:00
tullportenskonditori.se,se,2026-08-04,True,True,103,wayback,2026-08-03T09:02:34.135029+00:00
aktivaliva.se,se,2026-08-04,True,True,101,wayback,2026-08-03T09:02:34.135029+00:00
xn--nyrsklnningar-gfbk.se,se,2026-08-04,True,True,101,wayback,2026-08-03T09:02:34.135029+00:00
crownpoint.se,se,2026-08-04,True,True,89,wayback,2026-08-03T09:02:34.135029+00:00
livesthlm.se,se,2026-08-04,True,True,89,wayback,2026-08-03T09:02:34.135029+00:00
rolls-roycemotorcars-stockholm.se,se,2026-08-04,True,True,87,wayback,2026-08-03T09:02:34.135029+00:00
xn--sprngtjnst-s5ae.se,se,2026-08-04,True,True,79,wayback,2026-08-03T09:02:34.135029+00:00
rekobiluthyrning.se,se,2026-08-04,True,True,78,wayback,2026-08-03T09:02:34.135029+00:00
tvattsmart.nu,nu,2026-08-04,True,True,74,wayback,2026-08-03T09:02:34.135029+00:00
heltokej.se,se,2026-08-04,True,True,73,wayback,2026-08-03T09:02:34.135029+00:00
stixa.se,se,2026-08-04,True,True,73,wayback,2026-08-03T09:02:34.135029+00:00
undertakstockholm.nu,nu,2026-08-04,True,True,67,wayback,2026-08-03T09:02:34.135029+00:00
finastaket.se,se,2026-08-04,True,True,58,wayback,2026-08-03T09:02:34.135029+00:00
xn--pensionrsrabatter-wqb.se,se,2026-08-04,True,True,58,wayback,2026-08-03T09:02:34.135029+00:00
philliplim.se,se,2026-08-04,True,True,48,wayback,2026-08-03T09:02:34.135029+00:00
loservice.se,se,2026-08-04,True,True,45,wayback,2026-08-03T09:02:34.135029+00:00
flyginkasso.se,se,2026-08-04,True,True,44,wayback,2026-08-03T09:02:34.135029+00:00
torslandahyrmaskiner.se,se,2026-08-04,True,True,44,wayback,2026-08-03T09:02:34.135029+00:00
hyrapostbox.se,se,2026-08-04,True,True,41,wayback,2026-08-03T09:02:34.135029+00:00
thinkinnovation.se,se,2026-08-04,True,True,40,wayback,2026-08-03T09:02:34.135029+00:00
schaub.nu,nu,2026-08-04,True,True,39,wayback,2026-08-03T09:02:34.135029+00:00
rapporteraskarv.se,se,2026-08-04,True,True,38,wayback,2026-08-03T09:02:34.135029+00:00
alainmikliglasogon.se,se,2026-08-04,True,True,33,wayback,2026-08-03T09:02:34.135029+00:00
carreraglasogon.se,se,2026-08-04,True,True,33,wayback,2026-08-03T09:02:34.135029+00:00
modo.nu,nu,2026-08-04,True,True,33,wayback,2026-08-03T09:02:34.135029+00:00
folktandvardenkronoberg.se,se,2026-08-04,True,True,31,wayback,2026-08-03T09:02:34.135029+00:00
ladybug.nu,nu,2026-08-04,True,True,31,wayback,2026-08-03T09:02:34.135029+00:00
5f.se,se,2026-08-04,True,True,28,wayback,2026-08-03T09:02:34.135029+00:00
geenwoordenmaardaden.nu,nu,2026-08-04,True,True,28,wayback,2026-08-03T09:02:34.135029+00:00
vattenkungen.se,se,2026-08-04,True,True,27,wayback,2026-08-03T09:02:34.135029+00:00
liveauditions.se,se,2026-08-04,True,True,24,wayback,2026-08-03T09:02:34.135029+00:00
uppsalasjalvforsvar.se,se,2026-08-04,True,True,23,wayback,2026-08-03T09:02:34.135029+00:00
parashopen.se,se,2026-08-04,True,True,21,wayback,2026-08-03T09:02:34.135029+00:00
showrooming.se,se,2026-08-04,True,True,19,wayback,2026-08-03T09:02:34.135029+00:00
xn--vrmevxlare-q5ae.se,se,2026-08-04,True,True,19,wayback,2026-08-03T09:02:34.135029+00:00
alexanderqvarnstrom.se,se,2026-08-04,True,True,18,wayback,2026-08-03T09:02:34.135029+00:00
sggab.se,se,2026-08-04,True,True,18,wayback,2026-08-03T09:02:34.135029+00:00
tradbeskarning.nu,nu,2026-08-04,True,True,18,wayback,2026-08-03T09:02:34.135029+00:00
air-freight.nu,nu,2026-08-04,True,True,17,wayback,2026-08-03T09:02:34.135029+00:00
hashtagcafe.se,se,2026-08-04,True,True,15,wayback,2026-08-03T09:02:34.135029+00:00
vastbostad.se,se,2026-08-04,True,True,15,wayback,2026-08-03T09:02:34.135029+00:00
jetskiacademy.nu,nu,2026-08-04,True,True,14,wayback,2026-08-03T09:02:34.135029+00:00
tradbeskarning.se,se,2026-08-04,True,True,14,wayback,2026-08-03T09:02:34.135029+00:00
vastkusttrad.se,se,2026-08-04,True,True,13,wayback,2026-08-03T09:02:34.135029+00:00
larsmassage.nu,nu,2026-08-04,True,True,10,wayback,2026-08-03T09:02:34.135029+00:00
brewscout.se,se,2026-08-04,True,True,9,wayback,2026-08-03T09:02:34.135029+00:00
safealert.se,se,2026-08-04,True,True,9,wayback,2026-08-03T09:02:34.135029+00:00
tagen.nu,nu,2026-08-04,True,True,9,wayback,2026-08-03T09:02:34.135029+00:00
husbilsspecialisten.se,se,2026-08-04,True,True,8,wayback,2026-08-03T09:02:34.135029+00:00
zorl.se,se,2026-08-04,True,True,8,wayback,2026-08-03T09:02:34.135029+00:00
22an.se,se,2026-08-04,True,True,7,wayback,2026-08-03T09:02:34.135029+00:00
7fem.se,se,2026-08-04,True,True,7,wayback,2026-08-03T09:02:34.135029+00:00
casy.se,se,2026-08-04,True,True,7,wayback,2026-08-03T09:02:34.135029+00:00
integralaudio.se,se,2026-08-04,True,True,7,wayback,2026-08-03T09:02:34.135029+00:00
saed.se,se,2026-08-04,True,True,7,wayback,2026-08-03T09:02:34.135029+00:00
skoogbygg.se,se,2026-08-04,True,True,7,wayback,2026-08-03T09:02:34.135029+00:00
ddmcar.se,se,2026-08-04,True,True,6,wayback,2026-08-03T09:02:34.135029+00:00
denvi.se,se,2026-08-04,True,True,6,wayback,2026-08-03T09:02:34.135029+00:00
quic.se,se,2026-08-04,True,True,6,wayback,2026-08-03T09:02:34.135029+00:00
varmepump-orebro.se,se,2026-08-04,True,True,6,wayback,2026-08-03T09:02:34.135029+00:00
