domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
bakverk.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
cyklamountainbike.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
datalanna.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
energica.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
eprix.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
etienne.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
eviem.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
fisketuren.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
fmfk.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
fyrahander.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
helikopterfoto.nu,nu,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
kopagard.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
kristallgarden.nu,nu,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
motala-akvarieforening.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
norrstar.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
rosti-mepal.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
saraseviga.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
semer.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
solnahotell.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
tolt.nu,nu,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
ungiskovde.se,se,2026-06-27,True,True,500,wayback,2026-06-26T11:53:44.262390+00:00
