domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
beneath.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
bestcolor.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
bjornolle.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
blatteformedlingen.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
carhog14.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
cederingslamm.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
dinatavlor.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
eyeds.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
findmincykel.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
meteorit.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
mittgoteborg.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
protecta.nu,nu,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
ratioinstitutet.nu,nu,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
resonate.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
screenseven.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
shisvalnas.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
situationmalmo.nu,nu,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
skogsgrisen.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
sollentunamarkis.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
summit.nu,nu,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
thegame.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
uteochcyklar.se,se,2026-09-18,True,True,500,wayback,2026-09-17T08:57:14.228965+00:00
hugna.se,se,2026-09-18,True,True,486,wayback,2026-09-17T08:57:14.228965+00:00
stallberg.se,se,2026-09-18,True,True,478,wayback,2026-09-17T08:57:14.228965+00:00
3rfvm.se,se,2026-09-18,True,True,469,wayback,2026-09-17T08:57:14.228965+00:00
kamms.se,se,2026-09-18,True,True,442,wayback,2026-09-17T08:57:14.228965+00:00
blekslattengard.se,se,2026-09-18,True,True,423,wayback,2026-09-17T08:57:14.228965+00:00
5-string.se,se,2026-09-18,True,True,411,wayback,2026-09-17T08:57:14.228965+00:00
bitcoinprofit.se,se,2026-09-18,True,True,390,wayback,2026-09-17T08:57:14.228965+00:00
bep.nu,nu,2026-09-18,True,True,369,wayback,2026-09-17T08:57:14.228965+00:00
shersweden.se,se,2026-09-18,True,True,367,wayback,2026-09-17T08:57:14.228965+00:00
nyttvasstakhov.se,se,2026-09-18,True,True,311,wayback,2026-09-17T08:57:14.228965+00:00
mi7.se,se,2026-09-18,True,True,305,wayback,2026-09-17T08:57:14.228965+00:00
ldsmaleri.se,se,2026-09-18,True,True,283,wayback,2026-09-17T08:57:14.228965+00:00
mtplat.se,se,2026-09-18,True,True,281,wayback,2026-09-17T08:57:14.228965+00:00
clients.se,se,2026-09-18,True,True,266,wayback,2026-09-17T08:57:14.228965+00:00
satramotorcenter.se,se,2026-09-18,True,True,258,wayback,2026-09-17T08:57:14.228965+00:00
lindaslillarosa.se,se,2026-09-18,True,True,246,wayback,2026-09-17T08:57:14.228965+00:00
medialect.se,se,2026-09-18,True,True,244,wayback,2026-09-17T08:57:14.228965+00:00
djurambulans.nu,nu,2026-09-18,True,True,222,wayback,2026-09-17T08:57:14.228965+00:00
sun-swed.se,se,2026-09-18,True,True,205,wayback,2026-09-17T08:57:14.228965+00:00
laantrodsrki.nu,nu,2026-09-18,True,True,167,wayback,2026-09-17T08:57:14.228965+00:00
caballero.se,se,2026-09-18,True,True,164,wayback,2026-09-17T08:57:14.228965+00:00
musicadelmare.se,se,2026-09-18,True,True,156,wayback,2026-09-17T08:57:14.228965+00:00
thislifestyleinmotion.se,se,2026-09-18,True,True,154,wayback,2026-09-17T08:57:14.228965+00:00
corrosioncontrol.nu,nu,2026-09-18,True,True,148,wayback,2026-09-17T08:57:14.228965+00:00
norrlandva.se,se,2026-09-18,True,True,147,wayback,2026-09-17T08:57:14.228965+00:00
hoss.se,se,2026-09-18,True,True,141,wayback,2026-09-17T08:57:14.228965+00:00
drift-casino.se,se,2026-09-18,True,True,137,wayback,2026-09-17T08:57:14.228965+00:00
indumont.se,se,2026-09-18,True,True,133,wayback,2026-09-17T08:57:14.228965+00:00
klipp1.se,se,2026-09-18,True,True,130,wayback,2026-09-17T08:57:14.228965+00:00
c1nordic.se,se,2026-09-18,True,True,112,wayback,2026-09-17T08:57:14.228965+00:00
konserthusetsvanner.se,se,2026-09-18,True,True,105,wayback,2026-09-17T08:57:14.228965+00:00
pialanneberg.se,se,2026-09-18,True,True,103,wayback,2026-09-17T08:57:14.228965+00:00
torun.nu,nu,2026-09-18,True,True,102,wayback,2026-09-17T08:57:14.228965+00:00
ooak.nu,nu,2026-09-18,True,True,99,wayback,2026-09-17T08:57:14.228965+00:00
frohandeln.se,se,2026-09-18,True,True,96,wayback,2026-09-17T08:57:14.228965+00:00
weseeu.se,se,2026-09-18,True,True,92,wayback,2026-09-17T08:57:14.228965+00:00
abcdef.se,se,2026-09-18,True,True,87,wayback,2026-09-17T08:57:14.228965+00:00
campingduschar.se,se,2026-09-18,True,True,84,wayback,2026-09-17T08:57:14.228965+00:00
mabre.se,se,2026-09-18,True,True,83,wayback,2026-09-17T08:57:14.228965+00:00
xn--cocktailklnningar-zqb.se,se,2026-09-18,True,True,82,wayback,2026-09-17T08:57:14.228965+00:00
bkdata.se,se,2026-09-18,True,True,81,wayback,2026-09-17T08:57:14.228965+00:00
magiclean.se,se,2026-09-18,True,True,75,wayback,2026-09-17T08:57:14.228965+00:00
zakopane.nu,nu,2026-09-18,True,True,74,wayback,2026-09-17T08:57:14.228965+00:00
probuddy.se,se,2026-09-18,True,True,69,wayback,2026-09-17T08:57:14.228965+00:00
studiopepp.se,se,2026-09-18,True,True,66,wayback,2026-09-17T08:57:14.228965+00:00
kolobrzeg.nu,nu,2026-09-18,True,True,65,wayback,2026-09-17T08:57:14.228965+00:00
xn--kpa-slangvinda-vpb.se,se,2026-09-18,True,True,64,wayback,2026-09-17T08:57:14.228965+00:00
lecler.se,se,2026-09-18,True,True,63,wayback,2026-09-17T08:57:14.228965+00:00
pomchi.se,se,2026-09-18,True,True,63,wayback,2026-09-17T08:57:14.228965+00:00
