domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
amazonasforeningen.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
angeoptik.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
antropo.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
coldwarexperience.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
detox.nu,nu,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
e-lampor.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
energiost.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
ephoto.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
filmberg.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
fylllivet.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
gersime.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
halldorsweden.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
hotellrestaurangrosenberg.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
htconline.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
komibalans.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
komochspela.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
locknersbilochmc.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
merbil.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
onlinedesign.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
patricia.nu,nu,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
renahemstockholm.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
svensktbyggmontage.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
unitefootball.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
zeise.se,se,2026-07-21,True,True,500,wayback,2026-07-20T09:46:57.477742+00:00
cancersamtal.nu,nu,2026-07-21,True,True,482,wayback,2026-07-20T09:46:57.477742+00:00
sportstyle.se,se,2026-07-21,True,True,424,wayback,2026-07-20T09:46:57.477742+00:00
bynori.se,se,2026-07-21,True,True,403,wayback,2026-07-20T09:46:57.477742+00:00
poioi.se,se,2026-07-21,True,True,384,wayback,2026-07-20T09:46:57.477742+00:00
nvsam.se,se,2026-07-21,True,True,351,wayback,2026-07-20T09:46:57.477742+00:00
vasterasmagiskaklubb.se,se,2026-07-21,True,True,348,wayback,2026-07-20T09:46:57.477742+00:00
kjglas.se,se,2026-07-21,True,True,318,wayback,2026-07-20T09:46:57.477742+00:00
a-mas.se,se,2026-07-21,True,True,299,wayback,2026-07-20T09:46:57.477742+00:00
art-renaissance.se,se,2026-07-21,True,True,298,wayback,2026-07-20T09:46:57.477742+00:00
kvinnohistorier.se,se,2026-07-21,True,True,292,wayback,2026-07-20T09:46:57.477742+00:00
brewing.se,se,2026-07-21,True,True,284,wayback,2026-07-20T09:46:57.477742+00:00
eventcrew.se,se,2026-07-21,True,True,279,wayback,2026-07-20T09:46:57.477742+00:00
eaglewing.se,se,2026-07-21,True,True,278,wayback,2026-07-20T09:46:57.477742+00:00
hederberg.se,se,2026-07-21,True,True,266,wayback,2026-07-20T09:46:57.477742+00:00
uhsweden.se,se,2026-07-21,True,True,254,wayback,2026-07-20T09:46:57.477742+00:00
ahusvinfest.se,se,2026-07-21,True,True,236,wayback,2026-07-20T09:46:57.477742+00:00
cissicronstrom.se,se,2026-07-21,True,True,228,wayback,2026-07-20T09:46:57.477742+00:00
flashbacks.se,se,2026-07-21,True,True,220,wayback,2026-07-20T09:46:57.477742+00:00
hajkep.se,se,2026-07-21,True,True,219,wayback,2026-07-20T09:46:57.477742+00:00
vitavix.se,se,2026-07-21,True,True,214,wayback,2026-07-20T09:46:57.477742+00:00
arestationshus.se,se,2026-07-21,True,True,201,wayback,2026-07-20T09:46:57.477742+00:00
craftbeermerch.se,se,2026-07-21,True,True,199,wayback,2026-07-20T09:46:57.477742+00:00
merpengarifickan.se,se,2026-07-21,True,True,197,wayback,2026-07-20T09:46:57.477742+00:00
viagrashop.se,se,2026-07-21,True,True,193,wayback,2026-07-20T09:46:57.477742+00:00
pyret.nu,nu,2026-07-21,True,True,188,wayback,2026-07-20T09:46:57.477742+00:00
edessajuniorer.se,se,2026-07-21,True,True,175,wayback,2026-07-20T09:46:57.477742+00:00
ellisgarden.se,se,2026-07-21,True,True,171,wayback,2026-07-20T09:46:57.477742+00:00
sonjasstudio.se,se,2026-07-21,True,True,171,wayback,2026-07-20T09:46:57.477742+00:00
osbybyggservice.se,se,2026-07-21,True,True,158,wayback,2026-07-20T09:46:57.477742+00:00
textiltvatt.se,se,2026-07-21,True,True,146,wayback,2026-07-20T09:46:57.477742+00:00
tindraljus.se,se,2026-07-21,True,True,137,wayback,2026-07-20T09:46:57.477742+00:00
pris-seo-tjanster.se,se,2026-07-21,True,True,128,wayback,2026-07-20T09:46:57.477742+00:00
vatterledensfastigheter.se,se,2026-07-21,True,True,122,wayback,2026-07-20T09:46:57.477742+00:00
kosttillskott.nu,nu,2026-07-21,True,True,118,wayback,2026-07-20T09:46:57.477742+00:00
nightmegaburner.se,se,2026-07-21,True,True,111,wayback,2026-07-20T09:46:57.477742+00:00
utvecklingskonsult.se,se,2026-07-21,True,True,111,wayback,2026-07-20T09:46:57.477742+00:00
windward.se,se,2026-07-21,True,True,111,wayback,2026-07-20T09:46:57.477742+00:00
kepump.se,se,2026-07-21,True,True,108,wayback,2026-07-20T09:46:57.477742+00:00
xn--spolarvtska-r8a.se,se,2026-07-21,True,True,108,wayback,2026-07-20T09:46:57.477742+00:00
tillverkaren.se,se,2026-07-21,True,True,105,wayback,2026-07-20T09:46:57.477742+00:00
otaxi.se,se,2026-07-21,True,True,99,wayback,2026-07-20T09:46:57.477742+00:00
capacentx.se,se,2026-07-21,True,True,92,wayback,2026-07-20T09:46:57.477742+00:00
saljabil-kungsbacka.se,se,2026-07-21,True,True,91,wayback,2026-07-20T09:46:57.477742+00:00
maintenance.se,se,2026-07-21,True,True,87,wayback,2026-07-20T09:46:57.477742+00:00
startintro.se,se,2026-07-21,True,True,87,wayback,2026-07-20T09:46:57.477742+00:00
infonorm.se,se,2026-07-21,True,True,85,wayback,2026-07-20T09:46:57.477742+00:00
petallush.se,se,2026-07-21,True,True,84,wayback,2026-07-20T09:46:57.477742+00:00
westside.se,se,2026-07-21,True,True,79,wayback,2026-07-20T09:46:57.477742+00:00
fourtwenty.nu,nu,2026-07-21,True,True,75,wayback,2026-07-20T09:46:57.477742+00:00
tobiasbalzano.se,se,2026-07-21,True,True,71,wayback,2026-07-20T09:46:57.477742+00:00
skogisar.se,se,2026-07-21,True,True,69,wayback,2026-07-20T09:46:57.477742+00:00
vadgora.nu,nu,2026-07-21,True,True,69,wayback,2026-07-20T09:46:57.477742+00:00
matmedsmak.nu,nu,2026-07-21,True,True,66,wayback,2026-07-20T09:46:57.477742+00:00
e0.nu,nu,2026-07-21,True,True,64,wayback,2026-07-20T09:46:57.477742+00:00
hjaltebolaget.se,se,2026-07-21,True,True,56,wayback,2026-07-20T09:46:57.477742+00:00
sthlmmatanalys.se,se,2026-07-21,True,True,56,wayback,2026-07-20T09:46:57.477742+00:00
xn--tvling-bua.nu,nu,2026-07-21,True,True,55,wayback,2026-07-20T09:46:57.477742+00:00
pinkcameras.se,se,2026-07-21,True,True,53,wayback,2026-07-20T09:46:57.477742+00:00
tvetenphotography.se,se,2026-07-21,True,True,51,wayback,2026-07-20T09:46:57.477742+00:00
redko.se,se,2026-07-21,True,True,50,wayback,2026-07-20T09:46:57.477742+00:00
housetours.se,se,2026-07-21,True,True,48,wayback,2026-07-20T09:46:57.477742+00:00
mariesdiary.se,se,2026-07-21,True,True,48,wayback,2026-07-20T09:46:57.477742+00:00
kyrkohistoria.se,se,2026-07-21,True,True,46,wayback,2026-07-20T09:46:57.477742+00:00
webbhornan.se,se,2026-07-21,True,True,46,wayback,2026-07-20T09:46:57.477742+00:00
antongrahn.se,se,2026-07-21,True,True,45,wayback,2026-07-20T09:46:57.477742+00:00
cnacademy.se,se,2026-07-21,True,True,45,wayback,2026-07-20T09:46:57.477742+00:00
arabisktalandesocionom.se,se,2026-07-21,True,True,42,wayback,2026-07-20T09:46:57.477742+00:00
solcellerlantbruk.nu,nu,2026-07-21,True,True,41,wayback,2026-07-20T09:46:57.477742+00:00
amazoniamassageterapi.se,se,2026-07-21,True,True,39,wayback,2026-07-20T09:46:57.477742+00:00
saleverdulangre.se,se,2026-07-21,True,True,39,wayback,2026-07-20T09:46:57.477742+00:00
hyrakassa.se,se,2026-07-21,True,True,37,wayback,2026-07-20T09:46:57.477742+00:00
sanagustin.se,se,2026-07-21,True,True,37,wayback,2026-07-20T09:46:57.477742+00:00
x3.se,se,2026-07-21,True,True,37,wayback,2026-07-20T09:46:57.477742+00:00
karlstadmaleriochkakel.se,se,2026-07-21,True,True,35,wayback,2026-07-20T09:46:57.477742+00:00
speckompetens.se,se,2026-07-21,True,True,35,wayback,2026-07-20T09:46:57.477742+00:00
svanhild.se,se,2026-07-21,True,True,35,wayback,2026-07-20T09:46:57.477742+00:00
isabellafrostbergman.se,se,2026-07-21,True,True,34,wayback,2026-07-20T09:46:57.477742+00:00
glennsflytt.se,se,2026-07-21,True,True,31,wayback,2026-07-20T09:46:57.477742+00:00
solceller-halmstad.se,se,2026-07-21,True,True,31,wayback,2026-07-20T09:46:57.477742+00:00
thapper-with.se,se,2026-07-21,True,True,31,wayback,2026-07-20T09:46:57.477742+00:00
datapakarta.se,se,2026-07-21,True,True,30,wayback,2026-07-20T09:46:57.477742+00:00
ligabbadrum.se,se,2026-07-21,True,True,30,wayback,2026-07-20T09:46:57.477742+00:00
malmosstadpartner.se,se,2026-07-21,True,True,29,wayback,2026-07-20T09:46:57.477742+00:00
xn--giftfriaklder-kfb.se,se,2026-07-21,True,True,29,wayback,2026-07-20T09:46:57.477742+00:00
kanalisering.se,se,2026-07-21,True,True,28,wayback,2026-07-20T09:46:57.477742+00:00
ordningsvakt.nu,nu,2026-07-21,True,True,28,wayback,2026-07-20T09:46:57.477742+00:00
tagweekend.se,se,2026-07-21,True,True,25,wayback,2026-07-20T09:46:57.477742+00:00
youngguns.se,se,2026-07-21,True,True,25,wayback,2026-07-20T09:46:57.477742+00:00
juridisk-radgivning.se,se,2026-07-21,True,True,24,wayback,2026-07-20T09:46:57.477742+00:00
hivrapport.nu,nu,2026-07-21,True,True,23,wayback,2026-07-20T09:46:57.477742+00:00
maskeradbutik.se,se,2026-07-21,True,True,23,wayback,2026-07-20T09:46:57.477742+00:00
nuttan.se,se,2026-07-21,True,True,23,wayback,2026-07-20T09:46:57.477742+00:00
b2bhome.se,se,2026-07-21,True,True,22,wayback,2026-07-20T09:46:57.477742+00:00
emilios.se,se,2026-07-21,True,True,21,wayback,2026-07-20T09:46:57.477742+00:00
harmonyinlife.se,se,2026-07-21,True,True,21,wayback,2026-07-20T09:46:57.477742+00:00
qaf.se,se,2026-07-21,True,True,21,wayback,2026-07-20T09:46:57.477742+00:00
desportmasseur.nu,nu,2026-07-21,True,True,20,wayback,2026-07-20T09:46:57.477742+00:00
hyfsochvett.se,se,2026-07-21,True,True,20,wayback,2026-07-20T09:46:57.477742+00:00
awcon.se,se,2026-07-21,True,True,19,wayback,2026-07-20T09:46:57.477742+00:00
notthi.se,se,2026-07-21,True,True,19,wayback,2026-07-20T09:46:57.477742+00:00
somatiskkroppsterapi.se,se,2026-07-21,True,True,19,wayback,2026-07-20T09:46:57.477742+00:00
nordiskagolv.se,se,2026-07-21,True,True,18,wayback,2026-07-20T09:46:57.477742+00:00
siljanpadel.se,se,2026-07-21,True,True,18,wayback,2026-07-20T09:46:57.477742+00:00
sushibloggen.se,se,2026-07-21,True,True,18,wayback,2026-07-20T09:46:57.477742+00:00
svenssonexpress.se,se,2026-07-21,True,True,18,wayback,2026-07-20T09:46:57.477742+00:00
ebogrip.se,se,2026-07-21,True,True,17,wayback,2026-07-20T09:46:57.477742+00:00
firmakonto.nu,nu,2026-07-21,True,True,17,wayback,2026-07-20T09:46:57.477742+00:00
ringupnykoping.se,se,2026-07-21,True,True,17,wayback,2026-07-20T09:46:57.477742+00:00
ahlgrensskor.se,se,2026-07-21,True,True,16,wayback,2026-07-20T09:46:57.477742+00:00
leverage.nu,nu,2026-07-21,True,True,16,wayback,2026-07-20T09:46:57.477742+00:00
cityrun.se,se,2026-07-21,True,True,15,wayback,2026-07-20T09:46:57.477742+00:00
frulle.nu,nu,2026-07-21,True,True,15,wayback,2026-07-20T09:46:57.477742+00:00
xn--vningskrning-3ibh.nu,nu,2026-07-21,True,True,15,wayback,2026-07-20T09:46:57.477742+00:00
frirum.nu,nu,2026-07-21,True,True,14,wayback,2026-07-20T09:46:57.477742+00:00
