domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
3dprint-scan.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
400grader.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
4signskovde.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
50kr.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
6717.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
aandrasidan.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
abhmark.nu,nu,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
academievoorontspannenonderwijs.nu,nu,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
adultluxuryofficial.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
advanis.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
advantage-cars.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
adviceify.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
advocatenkantoor.nu,nu,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
affinazari.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
africatamtam.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
agentic-ai.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
aggkartonger.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
aifika.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
ailangu.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
aldbilleasing.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
alfonsproducts.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
allanridha.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
alltombrod.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
alvaochmartin.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
amandajonas2025.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
andreasandjessica.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
andreassonmotorsports.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
annakubel.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
apsgoteborg.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
apshalmstad.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
apsstockholm.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
apssverige.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
apssweden.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
aregius.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
arthuredman.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
askardigital.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
asnew.se,se,2026-03-20,True,,,wayback,2026-03-19T10:15:45.141978+00:00
atish.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
atteo.se,se,2026-03-20,True,False,0,wayback,2026-03-19T10:15:45.141978+00:00
