domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
advantumprogress.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
beziercurve.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
dlight.nu,nu,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
foretagstidningen.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
lomi.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
maxibianca.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
nywebb.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
olafogelstrom.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
swedmax.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
viprogrammerar.se,se,2026-07-23,True,True,500,wayback,2026-07-22T08:40:02.844890+00:00
lippsy.se,se,2026-07-23,True,True,440,wayback,2026-07-22T08:40:02.844890+00:00
sverigesflorister.se,se,2026-07-23,True,True,434,wayback,2026-07-22T08:40:02.844890+00:00
julitabuss.se,se,2026-07-23,True,True,392,wayback,2026-07-22T08:40:02.844890+00:00
callunaassistans.se,se,2026-07-23,True,True,370,wayback,2026-07-22T08:40:02.844890+00:00
ranarim.nu,nu,2026-07-23,True,True,348,wayback,2026-07-22T08:40:02.844890+00:00
helgdag.se,se,2026-07-23,True,True,331,wayback,2026-07-22T08:40:02.844890+00:00
castmedical.se,se,2026-07-23,True,True,315,wayback,2026-07-22T08:40:02.844890+00:00
elegantedove.se,se,2026-07-23,True,True,299,wayback,2026-07-22T08:40:02.844890+00:00
sverigesmikrobryggerier.se,se,2026-07-23,True,True,268,wayback,2026-07-22T08:40:02.844890+00:00
woneninhuizen.nu,nu,2026-07-23,True,True,258,wayback,2026-07-22T08:40:02.844890+00:00
xn--knskadekliniken-1kb.se,se,2026-07-23,True,True,251,wayback,2026-07-22T08:40:02.844890+00:00
profilvatten.se,se,2026-07-23,True,True,243,wayback,2026-07-22T08:40:02.844890+00:00
vietnam-visum.se,se,2026-07-23,True,True,239,wayback,2026-07-22T08:40:02.844890+00:00
xn--lnamedanmrkning-8kbi.se,se,2026-07-23,True,True,196,wayback,2026-07-22T08:40:02.844890+00:00
ekoeuro.se,se,2026-07-23,True,True,182,wayback,2026-07-22T08:40:02.844890+00:00
