domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
24bildeler.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
360-center.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
3wf.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
48marin.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
98000.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
98001.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
9billion.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
9manader.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
acebikes.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
adenastore.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
adhdblogg.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
afhalen.nu,nu,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
afil.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
aguagarden.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
airbnbsthlm.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
ajkweb.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
aktivungdomlinkoping.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
alfainfra.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
alicerammakare.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
alicias.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
allatelefonkataloger.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
allaverk.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
alltom3dtraning.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
ammgruppen.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
anna40.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
apartment5.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
aquaeducation.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
aranya-demo.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
arbetskladsbilen.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
arstidsbordet.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
artikelmagasinet.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
artsandcraftstradgarden.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
asiangarden.nu,nu,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
aspenfred.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
avhandling.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
avloppspolaren.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
avskrivet.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
avskrivna.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
axofinanse.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
bakispizza.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
balanceratliv.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
banjamusic.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
bankomatgruppen.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
basteltandborste.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bebisguiden.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bergablod.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
bestbhousing.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
betongarbetaregoteborg.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
betonggranit.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bilbrandfilt.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bilgin.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bizfeed.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
blackgrizzly.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bmjfastighetsservice.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bojuristen.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bokumenterat.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bonzia.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bostadspolitiken.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bouncebrush.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
boxmore.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
brannlund.nu,nu,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
brfladdare.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
brownie.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
bryggsapa.se,se,2026-03-17,True,,,wayback,2026-03-16T10:08:56.235568+00:00
bunkerobar.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
butikrecension.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
butiksomdome.se,se,2026-03-17,True,False,0,wayback,2026-03-16T10:08:56.235568+00:00
